bucket,kind,era,series,rel_day,value
10y,new_issue,holdout,mean_z,9,2.4510955187687977
10y,new_issue,holdout,mean_z,10,2.5374057913005585
10y,new_issue,holdout,ci_lo,-10,0.0
10y,new_issue,holdout,ci_lo,-9,-0.06889853982536506
10y,new_issue,holdout,ci_lo,-8,-0.02584529979093081
10y,new_issue,holdout,ci_lo,-7,-0.047643231038430225
10y,new_issue,holdout,ci_lo,-6,-0.04547481974878451
10y,new_issue,holdout,ci_lo,-5,-0.03575668794284536
10y,new_issue,holdout,ci_lo,-4,-0.0010051675025268964
10y,new_issue,holdout,ci_lo,-3,-0.03032085251703319
10y,new_issue,holdout,ci_lo,-2,0.011438572565987995
10y,new_issue,holdout,ci_lo,-1,0.0775450502392123
10y,new_issue,holdout,ci_lo,0,-0.13457081811439972
10y,new_issue,holdout,ci_lo,1,-0.1355059760192252
10y,new_issue,holdout,ci_lo,2,-0.11648129508381871
10y,new_issue,holdout,ci_lo,3,-0.11450765393341765
10y,new_issue,holdout,ci_lo,4,-0.06769672812741664
10y,new_issue,holdout,ci_lo,5,-0.047534907228620235
10y,new_issue,holdout,ci_lo,6,-0.07746837573034643
10y,new_issue,holdout,ci_lo,7,-0.0499903464357941
10y,new_issue,holdout,ci_lo,8,-0.06478345931741147
10y,new_issue,holdout,ci_lo,9,-0.09729800326193085
10y,new_issue,holdout,ci_lo,10,-0.06384994423642947
10y,new_issue,holdout,ci_hi,-10,0.0
10y,new_issue,holdout,ci_hi,-9,0.0654273153808874
10y,new_issue,holdout,ci_hi,-8,0.1427754490946325
10y,new_issue,holdout,ci_hi,-7,0.1885872204248689
10y,new_issue,holdout,ci_hi,-6,0.1950865042945438
10y,new_issue,holdout,ci_hi,-5,0.25995840033365974
10y,new_issue,holdout,ci_hi,-4,0.31605359682898504
10y,new_issue,holdout,ci_hi,-3,0.3339851228299046
10y,new_issue,holdout,ci_hi,-2,0.34937509540564077
10y,new_issue,holdout,ci_hi,-1,0.4196513934146969
10y,new_issue,holdout,ci_hi,0,0.6540305009334442
10y,new_issue,holdout,ci_hi,1,0.6692317498624759
10y,new_issue,holdout,ci_hi,2,0.6771927314736376
10y,new_issue,holdout,ci_hi,3,0.6876389525930772
10y,new_issue,holdout,ci_hi,4,0.7437943322622493
10y,new_issue,holdout,ci_hi,5,0.8082251256346292
10y,new_issue,holdout,ci_hi,6,0.7732255778978122
10y,new_issue,holdout,ci_hi,7,0.8106036646876503
10y,new_issue,holdout,ci_hi,8,0.8097175754529641
10y,new_issue,holdout,ci_hi,9,0.7892420269595677
10y,new_issue,holdout,ci_hi,10,0.8013143347455302
10y,reopen,full,mean_xcpi,-10,0.0
10y,reopen,full,mean_xcpi,-9,0.05971210711810888
10y,reopen,full,mean_xcpi,-8,0.07065147320966636
10y,reopen,full,mean_xcpi,-7,0.09070377706461566
10y,reopen,full,mean_xcpi,-6,0.04138903575642117
10y,reopen,full,mean_xcpi,-5,0.1475889552760868
10y,reopen,full,mean_xcpi,-4,0.15627725836283454
10y,reopen,full,mean_xcpi,-3,0.11283193658019504
10y,reopen,full,mean_xcpi,-2,0.21783653946414383
10y,reopen,full,mean_xcpi,-1,0.1995882062840734
10y,reopen,full,mean_xcpi,0,0.44133173441129153
10y,reopen,full,mean_xcpi,1,0.4034733880849692
10y,reopen,full,mean_xcpi,2,0.4894991293581624
10y,reopen,full,mean_xcpi,3,0.4394836662424861
10y,reopen,full,mean_xcpi,4,0.493492922411266
10y,reopen,full,mean_xcpi,5,0.3797870007203834
10y,reopen,full,mean_xcpi,6,0.33118517146868554
10y,reopen,full,mean_xcpi,7,0.2942003171613331
10y,reopen,full,mean_xcpi,8,0.21794515212197157
10y,reopen,full,mean_xcpi,9,0.16648292182451327
10y,reopen,full,mean_xcpi,10,0.3088700606776702
10y,reopen,full,median_xcpi,-10,0.0
10y,reopen,full,median_xcpi,-9,-0.011057763787042374
10y,reopen,full,median_xcpi,-8,0.06452493661573211
10y,reopen,full,median_xcpi,-7,0.07990379048253837
10y,reopen,full,median_xcpi,-6,0.04091677774364766
10y,reopen,full,median_xcpi,-5,0.11579742300106277
10y,reopen,full,median_xcpi,-4,0.12522657345780397
10y,reopen,full,median_xcpi,-3,0.1661426884487036
10y,reopen,full,median_xcpi,-2,0.21734956919418486
10y,reopen,full,median_xcpi,-1,0.26156862141233117
10y,reopen,full,median_xcpi,0,0.17584238411869912
10y,reopen,full,median_xcpi,1,0.2071925485903292
10y,reopen,full,median_xcpi,2,0.13892261413141482
10y,reopen,full,median_xcpi,3,0.15190375084703778
10y,reopen,full,median_xcpi,4,0.12102359916070515
10y,reopen,full,median_xcpi,5,0.12686696716963386
10y,reopen,full,median_xcpi,6,0.13540485929339396
10y,reopen,full,median_xcpi,7,0.07731616958595611
10y,reopen,full,median_xcpi,8,0.03744471710670494
10y,reopen,full,median_xcpi,9,0.1345355081761812
10y,reopen,full,median_xcpi,10,0.2225836770935491
10y,reopen,full,mean_raw,-10,0.0
10y,reopen,full,mean_raw,-9,0.058547334755576344
10y,reopen,full,mean_raw,-8,0.06948670084713382
10y,reopen,full,mean_raw,-7,0.1089480158008631
10y,reopen,full,mean_raw,-6,0.0012199500093480384
10y,reopen,full,mean_raw,-5,0.09319848703301913
10y,reopen,full,mean_raw,-4,0.10763434979597042
10y,reopen,full,mean_raw,-3,0.06418902801333086
10y,reopen,full,mean_raw,-2,0.1780095918758742
10y,reopen,full,mean_raw,-1,0.17356602136265428
10y,reopen,full,mean_raw,0,0.4113955370958032
10y,reopen,full,mean_raw,1,0.3827128312220557
10y,reopen,full,mean_raw,2,0.4687385724952491
10y,reopen,full,mean_raw,3,0.41145874534517707
10y,reopen,full,mean_raw,4,0.4552706134570175
10y,reopen,full,mean_raw,5,0.3483083138415804
10y,reopen,full,mean_raw,6,0.33614162836548656
10y,reopen,full,mean_raw,7,0.3000046289390104
10y,reopen,full,mean_raw,8,0.20940915949180267
10y,reopen,full,mean_raw,9,0.16552990945402934
10y,reopen,full,mean_raw,10,0.30791704830718614
10y,reopen,full,mean_z,-10,0.0
10y,reopen,full,mean_z,-9,-0.0014693221168247748
10y,reopen,full,mean_z,-8,-0.0035421583539180356
10y,reopen,full,mean_z,-7,-0.003417161903503427
10y,reopen,full,mean_z,-6,0.05472190713801076
10y,reopen,full,mean_z,-5,0.26391643515468044
10y,reopen,full,mean_z,-4,0.27684597823896784
10y,reopen,full,mean_z,-3,0.14676595594894826
10y,reopen,full,mean_z,-2,0.3566543832519162
10y,reopen,full,mean_z,-1,0.3591473535132774
10y,reopen,full,mean_z,0,0.7899752864870214
10y,reopen,full,mean_z,1,0.7866554028040652
10y,reopen,full,mean_z,2,1.0450694541203644
10y,reopen,full,mean_z,3,1.073080544528231
10y,reopen,full,mean_z,4,1.238276056782927
10y,reopen,full,mean_z,5,0.936883186368669
10y,reopen,full,mean_z,6,0.8529848534638111
10y,reopen,full,mean_z,7,0.729196906950051
10y,reopen,full,mean_z,8,0.49775691709484443
10y,reopen,full,mean_z,9,0.47981696018378195
10y,reopen,full,mean_z,10,0.8942741598080709
10y,reopen,full,ci_lo,-10,0.0
10y,reopen,full,ci_lo,-9,-0.11112314993124
10y,reopen,full,ci_lo,-8,-0.13144614633450874
10y,reopen,full,ci_lo,-7,-0.1222441934524524
10y,reopen,full,ci_lo,-6,-0.1677179772795028
10y,reopen,full,ci_lo,-5,-0.11350432945673712
10y,reopen,full,ci_lo,-4,-0.09509253492882297
10y,reopen,full,ci_lo,-3,-0.15549841219140612
10y,reopen,full,ci_lo,-2,-0.09204966960205746
10y,reopen,full,ci_lo,-1,-0.10265276209338677
10y,reopen,full,ci_lo,0,0.036010601609287506
10y,reopen,full,ci_lo,1,0.07907135847667227
10y,reopen,full,ci_lo,2,0.16300157957877062
10y,reopen,full,ci_lo,3,0.15692036098888792
10y,reopen,full,ci_lo,4,0.21274860891644942
10y,reopen,full,ci_lo,5,0.09762881766642778
10y,reopen,full,ci_lo,6,0.05333903636861995
10y,reopen,full,ci_lo,7,-0.018624236108791742
10y,reopen,full,ci_lo,8,-0.12068911590271846
10y,reopen,full,ci_lo,9,-0.3015763716952003
10y,reopen,full,ci_lo,10,-0.06206508891924656
10y,reopen,full,ci_hi,-10,0.0
10y,reopen,full,ci_hi,-9,0.28154135448716167
10y,reopen,full,ci_hi,-8,0.30376148357754146
10y,reopen,full,ci_hi,-7,0.323703345980113
10y,reopen,full,ci_hi,-6,0.23621384759617614
10y,reopen,full,ci_hi,-5,0.3807205442175212
10y,reopen,full,ci_hi,-4,0.3858294203406952
10y,reopen,full,ci_hi,-3,0.37413620497194305
10y,reopen,full,ci_hi,-2,0.5213877165172383
10y,reopen,full,ci_hi,-1,0.4880564506043536
10y,reopen,full,ci_hi,0,0.9122258487735946
10y,reopen,full,ci_hi,1,0.7664114831246799
10y,reopen,full,ci_hi,2,0.854115483872939
